parnme,n_realizations,mean,std,min,p05,p50,p95,max
pp_main_017,42,0.06726516583458428,0.21084842280446986,-0.2848258749234852,-0.2335291370279428,0.0808621836216,0.35869680909798524,0.38792033041478347
pp_main_018,42,0.003581391578145648,0.10597470662199562,-0.23264578583340229,-0.14627650895732508,-0.013830896456991076,0.15514281287692114,0.19246079355840812
pp_main_019,42,-0.017370327353836874,0.16165062223774146,-0.316439235696909,-0.27327654282033614,0.006221034159814815,0.21694479141198886,0.28505726600817444
pp_main_020,42,0.06021219866852381,0.23606813186967798,-0.45389337228395726,-0.23170768272414893,0.05223468752860362,0.47190000249881764,0.6060461619644
pp_main_021,42,0.14464260431468792,0.26802623663012215,-0.4501940550045015,-0.28666465447309813,0.13806458088794968,0.5861761439116246,0.7446090394266371
pp_main_022,42,0.0028256270473686128,0.3228106023279352,-0.8821054839324763,-0.575047043198942,0.04388695269092875,0.5738544687885407,0.6570184180696361
pp_main_023,42,0.11226634445987878,0.32537432462766236,-0.5360483604221329,-0.4629132274358442,0.08135863800581554,0.588250193496674,0.6980352167982613
pp_main_024,42,-0.0031723872280038155,0.28043956335186127,-0.5730612408843214,-0.518116186706265,0.01004355436582325,0.46274753820218156,0.6083742822414399
pp_main_025,42,-0.01963431177993697,0.2715238222023733,-0.5349045653440669,-0.389509160428097,-0.05730848778522145,0.3865189851547995,0.615616721806759
pp_main_026,42,0.018464150605883987,0.35810159974342565,-0.6654590895011222,-0.583050566567361,0.036961114204945834,0.6266180719738025,0.7938613859777728
pp_main_027,42,-0.03702295799393405,0.3491860486502459,-0.7780832664200233,-0.6950407208505147,-0.0057440201374626895,0.4950188140809339,0.5873026267528813
pp_main_028,42,-0.01588187948771118,0.2810175347953002,-0.5905795776064163,-0.5095232071851616,-0.03235575700957006,0.4203071364548655,0.6209320794717373
pp_main_029,42,-0.028218111471608427,0.26915450913695327,-0.6625135991276319,-0.5378264386051917,-0.009681791947552601,0.3741115688409992,0.428689937102618
pp_main_030,42,-0.06960079829637567,0.3447358104147592,-0.8956499128648083,-0.7087079709286136,-0.04039843497772263,0.39080441738998256,0.5766660598603673
pp_main_031,42,-0.057051894734903276,0.37870311187732864,-0.9563932703731197,-0.6406186088215684,-0.0707683823249145,0.5758541591052855,0.7542705459839941
pp_main_032,42,0.0629009736985476,0.2971345042442938,-0.8048387002820799,-0.44582066623757244,0.08654890502592646,0.5021124698206697,0.6344718150161212
pp_main_033,42,-0.014683193434167893,0.2648781266240117,-0.6311611548784543,-0.4059353447138908,-0.008868226724756966,0.5061086836254464,0.5667366911902176
pp_main_034,42,-0.040564300276835975,0.3506780863566228,-0.8798528002981442,-0.5428155348971843,-0.024522341456802613,0.4218722236329982,0.8375910247436849
pp_main_035,42,0.10899979049616507,0.3111830338180852,-0.6270781773457998,-0.3986895209525061,0.08882891517544694,0.6277405697352246,0.7548553709579056
pp_upper_001,42,0.10223925641229158,0.29727355437692915,-0.5884080460511076,-0.30116099140760805,0.11556117472791794,0.53891373472945,0.9872142012364592
pp_upper_002,42,0.011942887760066708,0.23179344275975694,-0.559131390843439,-0.4036985168552225,0.056765542564953864,0.3095979482531353,0.35347962393484694
pp_upper_003,42,0.13819570553263286,0.3341646690242381,-0.5823020012620242,-0.33736443794949456,0.16051887231557044,0.5433465039467771,0.9932512269026805
pp_upper_004,42,0.14518730239589214,0.29896069784350415,-0.39275862824434865,-0.29039710088707904,0.12456726829000393,0.6616016785828429,0.7261988698934977
pp_upper_005,42,0.045642174516176984,0.3681592641287443,-0.9390759499400478,-0.5878627282698089,-0.008269361348099042,0.6121310587320979,0.791197364712935
pp_upper_006,42,0.08179286682649407,0.24058924842092957,-0.551874700241212,-0.29586176030476385,0.06682874160589408,0.4069572301387336,0.5267143467979878
pp_upper_007,42,-0.0009327763341889261,0.31846036957115026,-0.7263971036299074,-0.5062461005910035,-0.0007898072910033534,0.574104636192419,0.7785649741630165
pp_upper_008,42,0.014290061781312249,0.32363929550468856,-0.7198442266030957,-0.5342121975679743,0.0008816778777600807,0.46675577077816977,0.7540053056743217
pp_upper_009,42,0.06992430029660379,0.24711507553336948,-0.3179379343011888,-0.3030596370736105,0.05372394670126829,0.43430333447231495,0.9278588006664713
pp_upper_010,42,0.03516106446492785,0.34585613158021183,-0.8033789047275702,-0.5211813387571764,0.01773616194877916,0.5202616753615403,1.0
pp_upper_011,42,0.007171738191458395,0.3209608385626632,-0.8506756344243235,-0.4527627642787211,0.03050012145289348,0.47421087103665055,0.7978105695696901
pp_upper_012,42,0.1270252090511687,0.30857729452894384,-0.6016399271130883,-0.32808219821919105,0.08262714222703445,0.6671216676887274,0.7741039645626003
pp_upper_013,42,0.051006048286061416,0.3325252087402481,-0.5435498401703743,-0.41621954082306034,-0.015605023993954133,0.7081794643289913,0.8245587299633552
pp_upper_014,42,0.12411739377212544,0.3064063552461077,-0.4790655461406561,-0.3824422981490203,0.12465827224800158,0.6250356254256103,0.8067647421048019
pp_upper_015,42,0.05872684739624959,0.3463064234486157,-0.988646058433591,-0.3726541694216852,0.06435610751004696,0.5535410335810791,0.7232926413706109
rch_mult,42,1.0203857736461817,0.09603405681491911,0.7841225156064118,0.8715008443976587,1.020673535103719,1.1626316475343295,1.1958640942201721
riverbedk_mult,42,0.9696076411672374,0.13558568616009814,0.7138367748732756,0.7473759123185135,0.9614983914890503,1.1744033870768853,1.2893156679931954
