scenario,realization,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow
S2_CONN,real_0036,34.35124384751647,2.7792682015736716,23.0,66534.4403340656
S2_CONN,real_0038,28.02878050867368,1.2698368788616818,27.0,44631.72365966885
S2_CONN,real_0040,31.402727956872937,1.4008271428548298,24.0,50209.219178858664
S2_CONN,real_0042,28.807045641373694,4.347320177050882,13.0,118189.04518941007
S2_CONN,real_0044,23.382871959277388,4.060864094166327,18.0,60576.28720515586
S2_CONN,real_0045,32.77717044830015,3.028909613789075,20.0,71097.2636929944
S2_CONN,real_0046,26.584273347048406,1.2957463762213877,19.0,55559.39123030678
S2_CONN,real_0047,19.271717475830496,1.7080159167238094,19.0,54352.4621511912
S2_CONN,real_0052,25.43750622357306,1.1662972164998138,41.0,26597.18482689088
S2_CONN,real_0054,29.399465900141163,1.135360909411709,23.0,55468.91281655
S2_CONN,real_0057,33.24840809995698,8.65705421507532,13.0,101456.53899934755
S2_CONN,real_0058,39.809516168738526,6.068298703635712,18.0,104584.48023731972
S2_CONN,real_0060,32.03933498225206,1.6889215763289727,22.0,71089.58692818599
S2_CONN,real_0062,22.419500469212764,2.0035323160536365,25.0,40856.8868003399
S2_CONN,real_0063,28.627709363257715,2.595948469110162,20.0,64823.042145962245
S2_CONN,real_0064,22.73865180924461,2.246929308512975,20.0,52681.81958631863
S2_CONN,real_0065,27.813115212206082,2.892522416891559,14.0,85480.77031615275
S2_CONN,real_0066,23.583590113776882,1.274947440895076,20.0,47650.35000592054
S2_CONN,real_0067,32.69688278333436,2.8595977061771407,22.0,77701.69972349852
S2_CONN,real_0068,17.875307421510243,1.0899527114515521,24.0,35396.77261653529
S2_CONN,real_0069,30.526866451269306,9.532240458957517,13.0,109743.13319138771
S2_CONN,real_0070,22.347762769447257,1.2335913427246012,20.0,56887.945616233235
S2_CONN,real_0071,40.4698858239133,4.232705169576953,29.0,58946.15804421228
S2_CONN,real_0072,43.172292806220646,3.7221191688725668,36.0,54153.66025072691
S2_CONN,real_0073,21.961937114149517,4.085183641825573,18.0,60303.50529268398
S2_CONN,real_0074,31.976731678033975,6.5920762123163925,18.0,84092.9844923214
