scenario,forecast,threshold,n,n_exceed,frequency,wilson95_low,wilson95_high
S2_CONN,fcst_max_compliance_dd,27.75,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,28.0,38,37,0.9736842105263158,0.8650512388404787,0.9953394123142312
S2_CONN,fcst_max_compliance_dd,28.25,38,37,0.9736842105263158,0.8650512388404787,0.9953394123142312
S2_CONN,fcst_max_compliance_dd,28.5,38,35,0.9210526315789473,0.7920062854222853,0.9727854044930122
S2_CONN,fcst_max_compliance_dd,28.75,38,28,0.7368421052631579,0.5799115381253364,0.8502837874520186
S2_CONN,fcst_max_compliance_dd,29.0,38,1,0.02631578947368421,0.004660587685768783,0.1349487611595213
S2_CONN,fcst_max_compliance_dd,29.25,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,29.5,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,29.75,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,30.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,30.25,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,30.5,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,30.75,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,31.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,31.25,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,31.5,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,31.75,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,32.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,32.25,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,32.5,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,32.75,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,33.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,35000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,35500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,36000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,36500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,37000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,37500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,38000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,38500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,39000.0,38,38,1.0,0.908190131774416,0.9999999999999999
